2020-10-21 21:32:42,930 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:19,297 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:19,297 :INFO : Test_Api.Api_test :100
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 23:09:19,401 :INFO : Test_Api.Api_test :('API returns records:', 200)
2020-10-21 23:09:19,666 :INFO : Test_Api.Api_test :('Status code : ', 200)
2020-10-21 23:09:19,682 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:09:19,948 :INFO : Test_Api.Api_test :('status code : ', 404)
2020-10-21 23:09:19,948 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:09:20,716 :INFO : Test_Api.Api_test :('Verify POST status:', 201)
2020-10-21 23:09:20,716 :INFO : Test_Api.Api_test :('Verify POST status:', 201)
2020-10-21 23:09:20,732 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:09:20,732 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('Verify PUT status:', 200)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('Verify PUT status:', 200)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('Verify PUT status:', 200)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('Given PUT  JSON string is Valid', True)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('Given PUT  JSON string is Valid', True)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('Given PUT  JSON string is Valid', True)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('verify the record created : ', 1)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('verify the record created : ', 1)
2020-10-21 23:09:21,510 :INFO : Test_Api.Api_test :('verify the record created : ', 1)
2020-10-21 23:09:22,262 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
2020-10-21 23:09:22,262 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
2020-10-21 23:09:22,262 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
2020-10-21 23:09:22,262 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
